Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Pseudomonas,  0.23,   0.51,   0.22,   0.22,   0.35,   0.58,   0.27
Azotobacter,  0.01,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Oblitimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter,  0.02,   0.02,   0.02,   0.02,   0.02,   0.02,   0.02
Psychrobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter,  0.02,   0.02,   0.02,   0.01,   0.02,   0.02,   0.02
Klebsiella,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Citrobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Escherichia,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Salmonella,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Candidatus Hamiltonella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Blochmannia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Tachikawaea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Doolittlea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Purcelliella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Mikella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Annandia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Hoaglandella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Gullanella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Kosakonia,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Leclercia,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Cronobacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Cedecea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
