Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Pseudomonas sp. DY-1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. K2W31S-8,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LPH1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. ATCC 13867,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. TCU-HL1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. CC6-YY-74,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. S-6-2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. M30-35,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LG1E9,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. CMR12a,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LAB-08,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. MPC6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. HLS-6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. ACM7,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. StFLB209,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. CMR5c,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LTJR-52,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. SNU WT1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. Leaf58,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. DG56-2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
