Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Pseudomonadaceae,78249, 103170, 81428, 76970, 75855, 69162, 92573
Moraxellaceae,9420, 6299, 10383, 10311, 6685, 3269, 9622
Enterobacteriaceae,31660, 27116, 34082, 31873, 24965, 16778, 33615
Yersiniaceae,10822, 10059, 11797, 11142, 8788, 6248, 11620
Pectobacteriaceae,8013, 6003, 8659, 8305, 5304, 3641, 8278
Erwiniaceae,5890, 5852, 6369, 5712, 5444, 3456, 6684
Morganellaceae,5324, 2924, 6035, 5840, 3204, 1541, 5690
Hafniaceae,2475, 1949, 2853, 2516, 1605, 1228, 2544
Budviciaceae,435, 487, 502, 404, 418, 254, 445
Xanthomonadaceae,31331, 42466, 32098, 30782, 28960, 29294, 37089
Rhodanobacteraceae,5917, 9305, 6063, 5665, 6056, 6485, 6971
Alteromonadaceae,12099, 12489, 13344, 12915, 8265, 5696, 12001
Shewanellaceae,8243, 6062, 9345, 8759, 5971, 3456, 8739
Pseudoalteromonadaceae,4887, 3110, 5422, 5334, 2970, 1651, 4842
Colwelliaceae,2470, 1359, 2868, 2844, 1464, 703, 2592
Idiomarinaceae,830, 671, 848, 769, 515, 360, 753
Psychromonadaceae,580, 251, 708, 434, 287, 101, 350
Ferrimonadaceae,465, 601, 498, 605, 432, 406, 630
Moritellaceae,278, 231, 321, 256, 240, 114, 277
Chromatiaceae,10646, 11452, 11110, 10543, 8704, 7174, 11987
Ectothiorhodospiraceae,9662, 14087, 10162, 9862, 8981, 9271, 11626
Granulosicoccaceae,2828, 1719, 2623, 1346, 2144, 845, 1617
Wenzhouxiangellaceae,980, 1347, 1148, 1119, 806, 869, 1366
Thioalkalispiraceae,767, 1211, 831, 809, 832, 757, 1038
Halothiobacillaceae,632, 801, 598, 563, 652, 520, 770
Woeseiaceae,398, 2270, 414, 454, 467, 2142, 601
Halomonadaceae,11697, 16932, 12204, 11762, 11451, 10788, 13817
Alcanivoracaceae,2752, 3553, 3026, 2710, 2417, 2191, 3081
Oceanospirillaceae,2535, 2092, 2824, 2635, 1693, 1096, 2675
Saccharospirillaceae,854, 984, 1012, 1029, 809, 616, 1078
Hahellaceae,681, 959, 722, 629, 760, 597, 771
Kangiellaceae,609, 534, 670, 677, 535, 290, 677
Endozoicomonadaceae,464, 314, 475, 521, 333, 153, 632
Oleiphilaceae,448, 306, 522, 556, 292, 172, 465
Vibrionaceae,12607, 8593, 14295, 13694, 8822, 4592, 13046
Aeromonadaceae,8447, 9920, 8874, 8961, 8153, 6473, 10653
Methylococcaceae,8382, 6896, 8945, 9075, 5307, 4537, 9230
Piscirickettsiaceae,2724, 2342, 2954, 2989, 1925, 997, 2976
Francisellaceae,2323, 918, 2625, 2509, 1145, 491, 2079
Thiotrichaceae,1949, 710, 2138, 2153, 583, 266, 1537
Legionellaceae,5270, 3352, 6067, 5325, 3216, 1621, 4981
Coxiellaceae,1364, 956, 1450, 1462, 1045, 524, 1302
Cellvibrionaceae,2668, 2106, 2944, 3157, 1654, 1304, 3031
Microbulbiferaceae,1868, 2209, 1971, 2172, 1523, 1424, 2440
Halieaceae,1231, 2172, 1404, 1205, 1555, 1445, 1554
Spongiibacteraceae,655, 796, 806, 646, 685, 493, 801
Pasteurellaceae,5041, 3096, 5593, 5169, 3379, 1523, 4834
Acidiferrobacteraceae,3345, 4408, 3881, 3341, 2610, 3013, 3779
Sinobacteraceae,1348, 2638, 1317, 1282, 1566, 1864, 1704
Immundisolibacteraceae,988, 1305, 1066, 1068, 794, 963, 1333
Orbaceae,601, 204, 715, 502, 242, 92, 406
Salinisphaeraceae,552, 928, 534, 463, 576, 633, 672
Cardiobacteriaceae,288, 500, 293, 283, 353, 304, 388
Bradyrhizobiaceae,30467, 60559, 31709, 28706, 34253, 44448, 34907
Rhizobiaceae,28286, 45128, 29605, 28120, 29871, 30282, 31800
Phyllobacteriaceae,17819, 32807, 18577, 16755, 18711, 22824, 20310
Methylobacteriaceae,14636, 31241, 14755, 12779, 18008, 22873, 16695
Hyphomicrobiaceae,8135, 15121, 8713, 8256, 10379, 10607, 8846
Xanthobacteraceae,3819, 8153, 3983, 3472, 4630, 5664, 4469
Methylocystaceae,2800, 6081, 2942, 2333, 3426, 4279, 3131
Beijerinckiaceae,2781, 4418, 2919, 2755, 2719, 3169, 2965
Aurantimonadaceae,2010, 3522, 2173, 2030, 2394, 2559, 2636
Bartonellaceae,1924, 1234, 2358, 2366, 1467, 634, 2101
Rhodobiaceae,1513, 3220, 1611, 1319, 1741, 2174, 1695
Brucellaceae,1454, 1847, 1376, 1461, 1543, 1095, 1695
Chelatococcaceae,1225, 2463, 1236, 1335, 1412, 1866, 1658
Cohaesibacteraceae,959, 1978, 970, 950, 1154, 1309, 1179
Rhodobacteraceae,42986, 85173, 44607, 45572, 47122, 54150, 55030
Hyphomonadaceae,1618, 2898, 1791, 1580, 2023, 1965, 2027
Sphingomonadaceae,30105, 50255, 31251, 29602, 31709, 36238, 35899
Erythrobacteraceae,9382, 14223, 9623, 8980, 9106, 9842, 10425
Rhodospirillaceae,22708, 50757, 23538, 21958, 24215, 39153, 25783
Acetobacteraceae,14544, 26771, 15156, 14043, 14820, 20138, 15755
Caulobacteraceae,11709, 20412, 11902, 10609, 12671, 14816, 13470
Rickettsiaceae,2833, 1131, 3414, 3149, 1934, 560, 2751
Anaplasmataceae,1462, 893, 1612, 1513, 1143, 480, 1329
Candidatus Midichloriaceae,179, 109, 200, 230, 134, 43, 151
Candidatus Deianiraeaceae,162, 45, 157, 98, 65, 35, 86
Pelagibacteraceae,1426, 601, 1665, 1731, 671, 305, 1378
